t,date,year,month,month_name,region,arrivals_million,log_arrivals,ma_3_month,ma_6_month,ma_12_month_trailing,trend_cycle_centered_ma12,yoy_change_percent,percent_of_2019_same_month,seasonal_additive_factor,linear_trend_million,linear_residual_million,phase,unit,data_status,source_note
23,2020-11,2020,11,Nov,Asia and the Pacific,0.57,-0.5621189181535413,1.077,1.3305,7.503,1.4166249999999998,-98.07145757206659,1.9285424279334142,1.660163541666667,14.037673446327695,-13.467673446327694,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
24,2020-12,2020,12,Dec,Asia and the Pacific,0.76,-0.2744368457017603,0.6966666666666667,1.2988333333333333,4.926166666666666,1.505875,-97.60116154283189,2.3988384571681083,3.462548958333333,13.896719209039558,-13.136719209039558,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
25,2021-01,2021,1,Jan,Asia and the Pacific,1.516,0.41607528722017995,0.9486666666666667,1.3138333333333334,2.6765000000000003,1.587916666666667,-94.68294051627385,4.91059860067375,2.355121875000001,13.755764971751422,-12.239764971751422,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
26,2021-02,2021,2,Feb,Asia and the Pacific,1.516,0.41607528722017995,1.264,1.1704999999999999,1.4564166666666665,1.6147500000000004,-90.61707000061892,4.992425739313706,-0.2730343749999999,13.614810734463287,-12.098810734463287,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
27,2021-03,2021,3,Mar,Asia and the Pacific,1.718,0.5411608235620636,1.5833333333333333,1.14,1.2827499999999998,1.6091666666666666,-54.813256180957396,5.371267781772706,-2.545096875,13.47385649717515,-11.75585649717515,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
28,2021-04,2021,4,Apr,Asia and the Pacific,2.021,0.7035924384214839,1.7516666666666667,1.3501666666666665,1.3719999999999999,1.6793333333333331,112.73684210526315,6.399417371204205,-2.5857635416666667,13.332902259887016,-11.311902259887017,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
29,2021-05,2021,5,May,Asia and the Pacific,2.021,0.7035924384214839,1.92,1.5919999999999999,1.46125,1.8470416666666662,112.73684210526315,6.88492198678204,-2.057315625000001,13.19194802259888,-11.170948022598878,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
30,2021-06,2021,6,Jun,Asia and the Pacific,2.021,0.7035924384214839,2.021,1.8021666666666665,1.5505000000000002,2.0779166666666664,112.73684210526315,6.83786709974286,-1.1697322916666684,13.050993785310744,-11.029993785310744,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
31,2021-07,2021,7,Jul,Asia and the Pacific,2.324,0.8432898389896647,2.122,1.9368333333333334,1.6253333333333337,2.2452916666666667,62.97335203366059,7.5278569577610766,0.281065625000001,12.910039548022608,-10.586039548022608,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
32,2021-08,2021,8,Aug,Asia and the Pacific,2.122,0.7523590401917913,2.1556666666666664,2.0378333333333334,1.6041666666666667,2.327833333333333,-10.690235690235694,6.9880787723111375,0.5217739583333341,12.769085310734472,-10.647085310734472,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
33,2021-09,2021,9,Sep,Asia and the Pacific,2.021,0.7035924384214839,2.1556666666666664,2.0883333333333334,1.6141666666666665,2.424208333333333,6.312467122567056,7.450141925019353,-0.4722177083333335,12.628131073446337,-10.607131073446336,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
34,2021-10,2021,10,Oct,Asia and the Pacific,2.324,0.8432898389896647,2.1556666666666664,2.1388333333333334,1.7444999999999997,2.570666666666667,205.78947368421052,7.917149281188253,0.8224864583333326,12.487176836158202,-10.163176836158202,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
35,2021-11,2021,11,Nov,Asia and the Pacific,3.031,1.108892598075666,2.4586666666666663,2.307166666666667,1.949583333333333,2.8200416666666666,431.75438596491233,10.25510894573014,1.660163541666667,12.346222598870066,-9.315222598870065,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
36,2021-12,2021,12,Dec,Asia and the Pacific,3.84,1.3454723665996355,3.065,2.6103333333333336,2.20625,3.1938333333333335,405.2631578947368,12.120446941480967,3.462548958333333,12.205268361581929,-8.36526836158193,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
37,2022-01,2022,1,Jan,Asia and the Pacific,2.453,0.8973117652763521,3.108,2.6318333333333332,2.284333333333333,3.701666666666667,61.80738786279682,7.945711324177247,2.355121875000001,12.064314124293794,-9.611314124293795,early reopening,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
38,2022-02,2022,2,Feb,Asia and the Pacific,2.56,0.9400072584914712,2.951,2.704833333333333,2.371333333333333,4.28975,68.86543535620054,8.430481459527103,-0.2730343749999999,11.923359887005658,-9.363359887005657,early reopening,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
39,2022-03,2022,3,Mar,Asia and the Pacific,2.987,1.0942695392339727,2.6666666666666665,2.8658333333333332,2.4770833333333333,4.899375,73.86495925494762,9.338752540253244,-2.545096875,11.782405649717521,-8.795405649717521,early reopening,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
40,2022-04,2022,4,Apr,Asia and the Pacific,4.267,1.450911004205863,3.271333333333333,3.189666666666667,2.66425,5.580583333333333,111.13310242454233,13.511288432918528,-2.5857635416666667,11.641451412429387,-7.374451412429386,early reopening,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
41,2022-05,2022,5,May,Asia and the Pacific,5.76,1.7509374747078,4.338,3.6444999999999994,2.9758333333333336,6.357458333333334,185.00742206828303,19.622538665939906,-2.057315625000001,11.500497175141252,-5.740497175141252,early reopening,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
42,2022-06,2022,6,Jun,Asia and the Pacific,7.253,1.9814151763812753,5.760000000000001,4.213333333333334,3.4118333333333335,7.271166666666668,258.88174171202377,24.539856543510624,-1.1697322916666684,11.359542937853115,-4.106542937853115,early reopening,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
43,2022-07,2022,7,Jul,Asia and the Pacific,9.28,2.2278615467981093,7.431,5.351166666666667,3.9915000000000003,8.282708333333332,299.3115318416523,30.059600932884166,0.281065625000001,11.218588700564979,-1.9385887005649796,early reopening,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
44,2022-08,2022,8,Aug,Asia and the Pacific,9.28,2.2278615467981093,8.604333333333335,6.471166666666666,4.588,9.329875,337.32327992459943,30.560495290785745,0.5217739583333341,11.077634463276844,-1.7976344632768448,early reopening,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
45,2022-09,2022,9,Sep,Asia and the Pacific,9.494,2.2506600201291262,9.351333333333333,7.555666666666667,5.21075,10.480374999999999,369.76744186046517,34.99834113613743,-0.4722177083333335,10.93668022598871,-1.4426802259887097,early reopening,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
46,2022-10,2022,10,Oct,Asia and the Pacific,11.2,2.4159137783010487,9.991333333333333,8.711166666666665,5.9504166666666665,11.664416666666664,381.9277108433735,38.15493629488315,0.8224864583333326,10.795725988700573,0.4042740112994263,early reopening,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
47,2022-11,2022,11,Nov,Asia and the Pacific,12.8,2.5494451709255714,11.164666666666667,9.884500000000001,6.764500000000001,12.753874999999999,322.3028703398218,43.30761943429422,1.660163541666667,10.654771751412436,2.1452282485875642,early reopening,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
48,2022-12,2022,12,Dec,Asia and the Pacific,16.0,2.772588722239781,13.333333333333334,11.342333333333334,7.777833333333334,13.781708333333333,316.6666666666667,50.501862256170696,3.462548958333333,10.513817514124302,5.486182485875698,early reopening,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
49,2023-01,2023,1,Jan,Asia and the Pacific,14.57,2.6789646202071133,14.456666666666669,12.223999999999998,8.787583333333332,14.809375,493.9665715450469,47.194869137082144,2.355121875000001,10.372863276836165,4.197136723163835,recovery,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
50,2023-02,2023,2,Feb,Asia and the Pacific,15.575,2.745667064673517,15.381666666666666,13.273166666666667,9.872166666666667,15.85725,508.3984375,51.29091747349008,-0.2730343749999999,10.231909039548029,5.3430909604519705,recovery,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
51,2023-03,2023,3,Mar,Asia and the Pacific,17.584,2.8669893976612655,15.909666666666666,14.6215,11.088583333333332,16.841791666666666,488.6842986273853,54.97576989213694,-2.545096875,10.090954802259894,7.493045197740106,recovery,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
52,2023-04,2023,4,Apr,Asia and the Pacific,18.087,2.895193448175378,17.081999999999997,15.769333333333336,12.240249999999998,17.72958333333333,323.88094680103114,57.27177733447326,-2.5857635416666667,9.95000056497176,8.13699943502824,recovery,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
53,2023-05,2023,5,May,Asia and the Pacific,18.087,2.895193448175378,17.91933333333333,16.6505,13.2675,18.563375,214.01041666666666,61.61681542549567,-2.057315625000001,9.809046327683623,8.277953672316377,recovery,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
54,2023-06,2023,6,Jun,Asia and the Pacific,19.594,2.9752233969224506,18.589333333333332,17.2495,14.295916666666665,19.364625000000004,170.1502826416655,66.2944918121532,-1.1697322916666684,9.668092090395486,9.925907909604515,recovery,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
55,2023-07,2023,7,Jul,Asia and the Pacific,21.603,3.0728321939348393,19.761333333333333,18.421666666666667,15.322833333333334,20.185291666666664,132.79094827586212,69.97603005960093,0.281065625000001,9.527137853107352,12.07586214689265,recovery,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
56,2023-08,2023,8,Aug,Asia and the Pacific,22.106,3.0958490648887635,21.101000000000003,19.510166666666667,16.391666666666666,21.022291666666664,138.21120689655174,72.7985246657446,0.5217739583333341,9.386183615819217,12.719816384180785,recovery,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
57,2023-09,2023,9,Sep,Asia and the Pacific,20.297,3.0104730918754896,21.335333333333335,19.962333333333333,17.291916666666665,21.798583333333333,113.78765536128084,74.82213293029086,-0.4722177083333335,9.24522937853108,11.05177062146892,recovery,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
58,2023-10,2023,10,Oct,Asia and the Pacific,21.704,3.077496575356631,21.369,20.565166666666666,18.16725,,93.78571428571429,73.93881583429857,0.8224864583333326,9.104275141242944,12.599724858757057,recovery,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
59,2023-11,2023,11,Nov,Asia and the Pacific,22.307,3.104900530554645,21.436000000000003,21.2685,18.959500000000002,,74.27343749999997,75.47367708756258,1.660163541666667,8.96332090395481,13.34367909604519,recovery,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
60,2023-12,2023,12,Dec,Asia and the Pacific,25.723,3.2473855333139166,23.244666666666664,22.290000000000003,19.769750000000002,,60.76875,81.19121267596742,3.462548958333333,8.822366666666673,16.900633333333325,recovery,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
61,2024-01,2024,1,Jan,Asia and the Pacific,24.543,3.2004266811996707,24.191000000000003,22.78,20.60083333333333,,68.44886753603294,79.4992225965276,2.355121875000001,8.681412429378538,15.861587570621461,recovery,million arrivals,computed from official UN Tourism 2024 vs 2019 monthly percentage; 2024 partial,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
62,2024-02,2024,2,Feb,Asia and the Pacific,25.69,3.2461018111217923,25.31866666666667,23.377333333333336,21.443749999999998,,64.94382022471912,84.60119870908254,-0.2730343749999999,8.540458192090401,17.1495418079096,recovery,million arrivals,computed from official UN Tourism 2024 vs 2019 monthly percentage; 2024 partial,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
63,2024-03,2024,3,Mar,Asia and the Pacific,26.1,3.261935314328648,25.444333333333333,24.344499999999996,22.153416666666672,,48.43039126478619,81.60075035172738,-2.545096875,8.399503954802267,17.700496045197735,recovery,million arrivals,computed from official UN Tourism 2024 vs 2019 monthly percentage; 2024 partial,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
