year,month,arrivals,date,t,arrivals_m,phase,ma3,ma6,ma12,exp02,exp06,yoy,seasonal,residual,trend_quad,trend_lin,z_score,is_outlier_z,is_outlier_covid,is_outlier_iqr
2011,9,5869,2011-09-01,21,5.869,growth,7.123666666666668,5.932333333333333,4.726,5.594770504298026,6.4880887577247925,7.886029411764683,1.4833485576923078,-0.340348557692308,4.792534961302378,4.6795723948594725,-0.5620631512122705,False,False,False
2011,10,5051,2011-10-01,22,5.051,growth,6.325666666666667,6.067666666666667,4.725458333333333,5.486016403438422,5.625835503089917,6.718783012888241,0.536707532051282,-0.2111658653846149,4.823460251066853,4.704003164791228,-0.33966247470594657,False,False,False
2011,11,3108,2011-11-01,23,3.108,growth,4.676,5.830500000000001,4.726,5.010413122750737,4.115134201235967,7.580477673935637,-1.7948854166666668,0.1768854166666669,4.853888227154137,4.7284339347229825,0.3284058718012723,False,False,False
2011,12,4145,2011-12-01,24,4.145,growth,4.101333333333334,5.6125,4.728791666666666,4.83733049820059,4.1330536804943865,8.792650918635147,-0.7010552884615383,0.11726362179487182,4.883818889564227,4.752864704654738,0.22576110354992318,False,False,False
2012,1,2599,2012-01-01,25,2.599,growth,3.2840000000000003,4.804833333333334,4.754083333333333,4.3896643985604715,3.212621472197755,1.404603979711272,-2.3237283653846155,0.16864503205128267,4.913252238297125,4.777295474586493,0.3142192413758231,False,False,False
2012,2,2753,2012-02-01,26,2.753,growth,3.1656666666666666,3.920833333333333,4.769375,4.062331518848377,2.9368485888791023,-0.3619254433586572,-2.159052083333333,0.14267708333333307,4.942188273352831,4.801726244518248,0.26951287042794353,False,False,False
2012,3,3454,2012-03-01,27,3.454,growth,2.935333333333334,3.518333333333333,4.768374999999999,3.9406652150787016,3.2471394355516408,-0.4610951008645503,-1.5593020833333333,0.24492708333333457,4.970626994731343,4.826157014450003,0.445546275263691,False,False,False
2012,4,4242,2012-04-01,28,4.242,growth,3.483,3.3834999999999997,4.782083333333333,4.000932172062962,3.8440557742206565,0.07077140835103357,-0.6830328525641025,0.14294951923076993,4.998568402432664,4.850587784381759,0.2699818955489733,False,False,False
2012,5,4541,2012-05-01,29,4.541,growth,4.079,3.6223333333333336,4.790749999999999,4.1089457376503695,4.262222309688263,0.22070183182520964,-0.4604142628205128,0.21066426282051398,5.026012496456791,4.875018554313513,0.38655946886615744,False,False,False
2012,6,5510,2012-06-01,30,5.51,growth,4.764333333333333,3.8498333333333328,4.800374999999999,4.389156590120296,5.010888923875305,1.0452961672473782,0.7126306089743589,-0.003005608974358087,5.052959276803726,4.899449324245269,0.01870582541512143,False,False,False
2012,7,7995,2012-07-01,31,7.995,growth,6.015333333333333,4.7491666666666665,4.813541666666667,5.110325272096237,6.801355569550122,7.387508394895903,3.3069350961538455,-0.125476762820512,5.0794087434734685,4.923880094177024,-0.192140279286109,False,False,False
2012,8,7874,2012-08-01,32,7.874,growth,7.126333333333332,5.602666666666667,4.824625,5.663060217676989,7.444942227820048,-2.27131686732035,3.641848557692308,-0.5924735576923084,5.105360896466018,4.9483108641087785,-0.9961210699820724,False,False,False
2012,9,6028,2012-09-01,33,6.028,growth,7.2989999999999995,6.031666666666666,4.838708333333333,5.736048174141592,6.594776891128019,2.7091497699778477,1.4833485576923078,-0.29405689102564114,5.1308157357813755,4.972741634040534,-0.48236750623569613,False,False,False
2012,10,5221,2012-10-01,34,5.221,growth,6.3743333333333325,6.1948333333333325,4.854,5.633038539313274,5.770510756451207,3.3656701643238973,0.536707532051282,-0.16970753205128197,5.15577326141954,4.997172403972289,-0.26828788717067176,False,False,False
2012,11,3146,2012-11-01,35,3.146,growth,4.798333333333333,5.9623333333333335,4.863833333333333,5.135630831450619,4.195804302580482,1.2226512226512165,-1.7948854166666668,0.07705208333333369,5.180233473380512,5.021603173904044,0.15653299568617676,False,False,False
2012,12,4338,2012-12-01,36,4.338,growth,4.235,5.7669999999999995,4.87775,4.976104665160496,4.281121721032193,4.656212303980722,-0.7010552884615383,0.16130528846153858,5.204196371664291,5.046033943835799,0.3015831528210653,False,False,False
2013,1,2722,2013-01-01,37,2.722,growth,3.4019999999999997,4.888166666666667,4.898874999999999,4.525283732128397,3.345648688412877,4.732589457483649,-2.3237283653846155,0.14685336538461602,5.227661956270878,5.070464713767555,0.27670274963617575,False,False,False
2013,2,2896,2013-02-01,38,2.896,growth,3.3186666666666667,4.0584999999999996,4.934583333333332,4.1994269857027176,3.0758594753651507,5.194333454413358,-2.159052083333333,0.12046875000000057,5.250630227200272,5.094895483699309,0.23127904615025466,False,False,False
2013,3,3649,2013-03-01,39,3.649,growth,3.089,3.6619999999999995,4.9788749999999995,4.089341588562174,3.41974379014606,5.645628257093227,-1.5593020833333333,0.22942708333333384,5.273101184452473,5.119326253631065,0.4188615048484913,False,False,False
2013,4,4414,2013-04-01,40,4.414,growth,3.653,3.5275,5.011541666666666,4.154273270849739,4.016297516058424,4.054691183404047,-0.6830328525641025,0.0854911858974361,5.295074828027483,5.14375702356282,0.17106173855284681,False,False,False
2013,5,4605,2013-05-01,41,4.605,growth,4.222666666666666,3.7706666666666666,5.033499999999999,4.244418616679791,4.369519006423371,1.4093811935697032,-0.4604142628205128,0.03191426282051402,5.316551157925299,5.168187793494575,0.07882381004572321,False,False,False
2013,6,5780,2013-06-01,42,5.78,growth,4.933,4.011,5.048166666666666,4.551534893343833,5.215807602569348,4.900181488203281,0.7126306089743589,0.0192027243589753,5.337530174145923,5.19261856342633,0.056939649692811845,False,False,False
2013,7,8232,2013-07-01,43,8.232,growth,6.205666666666666,4.929333333333333,5.062541666666666,5.287627914675067,7.025523041027739,2.9643527204502806,3.3069350961538455,-0.13747676282051247,5.358011876689353,5.217049333358085,-0.21279945638174733,False,False,False
2013,8,8494,2013-08-01,44,8.494,growth,7.502,5.862333333333333,5.077624999999999,5.928902331740054,7.906609216411096,7.874015748031504,3.641848557692308,-0.22547355769230748,5.377996265555592,5.24148010328984,-0.3642945704738226,False,False,False
2013,9,6471,2013-09-01,45,6.471,growth,7.732333333333332,6.332666666666667,5.099666666666665,6.037321865392044,7.045243686564438,7.34903782349039,1.4833485576923078,-0.11201522435897271,5.397483340744638,5.265910873221595,-0.16896492036471927,False,False,False
2013,10,5562,2013-10-01,46,5.562,growth,6.8423333333333325,6.524,5.130958333333332,5.942257492313636,6.155297474625776,6.531315839877427,0.536707532051282,-0.10566586538461387,5.416473102256492,5.290341643153351,-0.15803387607346472,False,False,False
2013,11,3332,2013-11-01,47,3.332,growth,5.121666666666666,6.311833333333333,5.1643333333333326,5.420205993850909,4.4613189898503105,5.9122695486331756,-1.7948854166666668,-0.037447916666665915,5.434965550091152,5.314772413085105,-0.040589985768030794,False,False,False
2013,12,4504,2013-12-01,48,4.504,growth,4.465999999999999,6.099166666666666,5.199458333333332,5.236964795080728,4.486927595940124,3.8266482249884604,-0.7010552884615383,0.005596955128205461,5.4529606842486205,5.339203183016861,0.03351598335440765,False,False,False
2014,1,2901,2014-01-01,49,2.901,growth,3.5789999999999993,5.210666666666667,5.2435,4.769771836064582,3.5353710383760495,6.576047024246878,-2.3237283653846155,-0.01877163461538478,5.470458504728896,5.363633952948616,-0.008436934235906312,False,False,False
2014,2,3079,2014-02-01,50,3.079,growth,3.494666666666666,4.308166666666667,5.293708333333333,4.431617468851666,3.2615484153504197,6.319060773480678,-2.159052083333333,-0.05565624999999974,5.487459011531979,5.388064722880371,-0.07193741768050944,False,False,False
2014,3,3995,2014-03-01,51,3.995,growth,3.3249999999999993,3.8955,5.332000000000001,4.344293975081333,3.701619366140168,9.482049876678534,-1.5593020833333333,0.22230208333333268,5.50396220465787,5.412495492812126,0.4065951184479545,False,False,False
2014,4,4819,2014-04-01,52,4.819,growth,3.964333333333333,3.7716666666666665,5.359833333333333,4.439235180065067,4.372047746456067,9.17535115541459,-0.6830328525641025,0.1421995192307699,5.5199680841065675,5.4369262627438815,0.2686906969804959,False,False,False
2014,5,5001,2014-05-01,53,5.001,growth,4.6049999999999995,4.049833333333334,5.382666666666667,4.551588144052054,4.749419098582427,8.599348534201944,-0.4604142628205128,0.07874759615384597,5.535476649878072,5.461357032675636,0.1594519873217507,False,False,False
2014,6,6227,2014-06-01,54,6.227,growth,5.349,4.337000000000001,5.403708333333334,4.886670515241644,5.635967639432971,7.733564013840821,0.7126306089743589,0.11066105769230716,5.550487901972385,5.485787802607391,0.21439414179324132,False,False,False
2014,7,8842,2014-07-01,55,8.842,growth,6.69,5.327166666666667,5.424250000000001,5.677736412193315,7.559587055773189,7.410106899902824,3.3069350961538455,0.11081490384615433,5.565001840389504,5.510218572539147,0.21465900303805893,False,False,False
2014,8,9089,2014-08-01,56,9.089,growth,8.052666666666665,6.328833333333333,5.444708333333334,6.359989129754653,8.477234822309276,7.004944666823643,3.641848557692308,0.002443108974358843,5.579018465129432,5.534649342470901,0.028086327835681598,False,False,False
2014,9,6795,2014-09-01,57,6.795,growth,8.241999999999999,6.7955000000000005,5.461916666666667,6.446991303803722,7.4678939289237105,5.006954102920713,1.4833485576923078,-0.15026522435897505,5.592537776192167,5.559080112402657,-0.234816047357068,False,False,False
2014,10,5906,2014-10-01,58,5.906,growth,7.263333333333333,6.976666666666667,5.483499999999999,6.338793043042978,6.5307575715694846,6.184825602301314,0.536707532051282,-0.11420753205128165,5.605559773577709,5.583510882334412,-0.1727391931033475,False,False,False
2014,11,3536,2014-11-01,59,3.536,growth,5.412333333333333,6.732500000000001,5.5187083333333335,5.778234434434383,4.733903028627794,6.1224489795918435,-1.7948854166666668,-0.18782291666666673,5.618084457286058,5.607941652266167,-0.2994752987477402,False,False,False
2014,12,4805,2014-12-01,60,4.805,growth,4.749,6.4955,5.543166666666667,5.5835875475475065,4.776561211451117,6.6829484902309,-0.7010552884615383,-0.037111378205129,5.630111827317215,5.632372422197922,-0.04001060179499875,False,False,False
2015,1,3093,2015-01-01,61,3.093,growth,3.8113333333333324,5.537333333333334,5.560875,5.085470038038006,3.7664244845804467,6.618407445708385,-2.3237283653846155,-0.1441466346153848,5.641641883671181,5.6568031921296775,-0.2242822949330361,False,False,False
2015,2,3378,2015-02-01,62,3.378,growth,3.758666666666666,4.585500000000001,5.587999999999999,4.743976030430405,3.533369793832179,9.710945112049373,-2.159052083333333,-0.05094791666666598,5.6526746263479515,5.681233962061432,-0.06383156000062315,False,False,False
2015,3,4109,2015-03-01,63,4.109,growth,3.526666666666666,4.137833333333333,5.6167083333333325,4.616980824344324,3.8787479175328716,2.8535669586983614,-1.5593020833333333,0.05159375000000077,5.66321005534753,5.7056647319931875,0.112703977611752,False,False,False
2015,4,5223,2015-04-01,64,5.223,growth,4.2366666666666655,4.024,5.638541666666666,4.7381846594754595,4.685299167013149,8.383482050217882,-0.6830328525641025,0.2674911858974365,5.673248170669917,5.730095501924943,0.4843925911700169,False,False,False
2015,5,5442,2015-05-01,65,5.442,growth,4.924666666666666,4.341666666666667,5.658833333333332,4.878947727580368,5.139319666805259,8.818236352729446,-0.4604142628205128,0.2435809294871809,5.6827889723151115,5.754526271856697,0.4432287393715525,False,False,False
2015,6,6373,2015-06-01,66,6.373,growth,5.679333333333332,4.603000000000001,5.677541666666666,5.177758182064294,5.879527866722103,2.3446282318933642,0.7126306089743589,-0.017172275641024304,5.691832460283113,5.778957041788453,-0.0056834808783387866,False,False,False
2015,7,9121,2015-07-01,67,9.121,growth,6.978666666666666,5.607666666666667,5.696791666666666,5.966406545651436,7.824411146688842,3.1553947070798394,3.3069350961538455,0.1172732371794889,5.700378634573921,5.803387811720208,0.2257776573777271,False,False,False
2015,8,9461,2015-08-01,68,9.461,growth,8.318333333333333,6.6215,5.7192083333333334,6.665325236521149,8.806364458675537,4.092859500495094,3.641848557692308,0.09994310897435899,5.708427495187538,5.827818581651963,0.1959421417377369,False,False,False
2015,9,7112,2015-09-01,69,7.112,growth,8.564666666666666,7.122,5.747458333333334,6.754660189216919,7.789745783470215,4.665194996320832,1.4833485576923078,-0.1188068910256419,5.715979042123961,5.852249351583718,-0.18065744073482407,False,False,False
2015,10,6113,2015-10-01,70,6.113,growth,7.562,7.270333333333333,5.784833333333333,6.626328151373535,6.783698313388086,3.5049102607517924,0.536707532051282,-0.2085408653846148,5.723033275383192,5.876680121515474,-0.3351432797162757,False,False,False
2015,11,3816,2015-11-01,71,3.816,growth,5.680333333333333,6.999333333333333,5.828666666666667,6.064262521098828,5.003079325355234,7.918552036199089,-1.7948854166666668,-0.21778125000000026,5.729590194965231,5.901110891447228,-0.3510515082330301,False,False,False
2015,12,4974,2015-12-01,72,4.974,growth,4.967666666666666,6.766166666666667,5.881583333333333,5.846210016879063,4.985631730142094,3.5171696149844056,-0.7010552884615383,-0.20652804487179488,5.7356498008700765,5.9255416613789835,-0.3316780117632691,False,False,False
2016,1,3386,2016-01-01,73,3.386,growth,4.058666666666666,5.810333333333333,5.955916666666666,5.354168013503251,4.025852692056838,9.473003556417714,-2.3237283653846155,-0.2461883012820505,5.7412120930977295,5.949972431310739,-0.39995703349975786,False,False,False
2016,2,3623,2016-02-01,74,3.623,growth,3.994333333333333,4.8373333333333335,6.0382083333333325,5.007934410802601,3.7841410768227353,7.252812314979273,-2.159052083333333,-0.2561562499999992,5.74627707164819,5.9744032012424935,-0.41711783498678584,False,False,False
2016,3,4542,2016-03-01,75,4.542,growth,3.850333333333333,4.409,6.109375,4.914747528642081,4.2388564307290935,10.537843757605248,-1.5593020833333333,-0.008072916666666874,5.750844736521458,5.998833971174249,0.009981958163996961,False,False,False
2016,4,5687,2016-04-01,76,5.687,growth,4.617333333333334,4.338,6.176125000000001,5.069198022913666,5.107742572291637,8.883783266322043,-0.6830328525641025,0.19390785256410203,5.754915087717533,6.023264741106004,0.35771166495162643,False,False,False
2016,5,6030,2016-05-01,77,6.03,growth,5.419666666666667,4.707000000000001,6.216875000000001,5.261358418330933,5.661097028916655,10.804851157662632,-0.4604142628205128,0.2735392628205122,5.758488125236416,6.047695511037759,0.49480494885683857,False,False,False
2016,6,7055,2016-06-01,78,7.055,growth,6.2573333333333325,5.053833333333333,6.250958333333334,5.620086734664747,6.497438811566662,10.701396516554196,0.7126306089743589,0.09141105769230673,5.761563849078106,6.072126280969514,0.18125337853565532,False,False,False
2016,7,10223,2016-07-01,79,10.223,growth,7.769333333333333,6.1933333333333325,6.287458333333333,6.540669387731798,8.732775524626664,12.082008551693901,3.3069350961538455,0.6286065705128219,5.764142259242604,6.09655705090127,1.1060881480640596,False,False,False
2016,8,10334,2016-08-01,80,10.334,growth,9.203999999999999,7.311833333333333,6.312333333333333,7.29933551018544,9.693510209850665,9.227354402283039,3.641848557692308,0.37981810897435864,5.766223355729908,6.120987820833024,0.6777744075411994,False,False,False
2016,9,7947,2016-09-01,81,7.947,growth,9.501333333333333,7.879333333333334,6.343583333333333,7.428868408148353,8.645604083940267,11.740719910011244,1.4833485576923078,0.12006810897435916,5.767807138540021,6.14541859076478,0.23058930332521266,False,False,False
2016,10,6880,2016-10-01,82,6.88,growth,8.386999999999999,8.078166666666666,6.3842083333333335,7.319094726518683,7.5862416335761065,12.54703091771634,0.536707532051282,-0.04091586538461556,5.76889360767294,6.169849360696535,-0.04656039966159003,False,False,False
2016,11,4027,2016-11-01,83,4.027,growth,6.284666666666666,7.7443333333333335,6.422499999999999,6.660675781214946,5.450696653430443,5.529350104821806,-1.7948854166666668,-0.6006145833333325,5.769482763128668,6.1942801306282895,-1.0101366441869095,False,False,False
2016,12,5581,2016-12-01,84,5.581,growth,5.4959999999999996,7.498666666666668,6.4677083333333325,6.444740624971957,5.528878661372177,12.203457981503817,-0.7010552884615383,-0.1856530448717938,5.769574604907202,6.218710900560045,-0.29573965160731447,False,False,False
2017,1,3655,2017-01-01,85,3.655,growth,4.420999999999999,6.404000000000001,6.5305,5.886792499977566,4.40455146454887,7.944477259303007,-2.3237283653846155,-0.5517716346153847,5.769169133008544,6.2431416704918,-0.9260487169004739,False,False,False
2017,2,3951,2017-02-01,86,3.951,growth,4.395666666666666,5.340166666666666,6.607791666666667,5.499633999982052,4.132420585819548,9.053270770080047,-2.159052083333333,-0.49773958333333423,5.768266347432693,6.267572440423555,-0.833027240544103,False,False,False
2017,3,4964,2017-03-01,87,4.964,growth,4.1899999999999995,4.843,6.683583333333334,5.3925071999856415,4.6313682343278195,9.291061206516972,-1.5593020833333333,-0.16028125000000015,5.7668662481796495,6.29200321035531,-0.2520596179831,False,False,False
2017,4,6240,2017-04-01,88,6.24,growth,5.051666666666667,4.7363333333333335,6.733624999999999,5.562005759988514,5.596547293731128,9.723931774221906,-0.6830328525641025,0.18940785256410364,5.764968835249414,6.316433980287066,0.34996447354076515,False,False,False
2017,5,6396,2017-05-01,89,6.396,growth,5.866666666666666,5.131166666666667,6.769125,5.728804607990812,6.076218917492451,6.069651741293525,-0.4604142628205128,0.08728926282051286,5.762574108641985,6.34086475021882,0.174157304351632,False,False,False
2017,6,7774,2017-06-01,90,7.774,growth,6.803333333333332,5.496666666666667,6.804083333333334,6.1378436863926495,7.09488756699698,10.191353649893697,0.7126306089743589,0.2572860576923074,5.759682068357364,6.365295520150576,0.4668234619305629,False,False,False
2017,7,11011,2017-07-01,91,11.011,growth,8.393666666666666,6.722666666666666,6.824249999999999,7.1124749491141195,9.444555026798792,7.708109165606958,3.3069350961538455,0.8798149038461545,5.756292714395551,6.389726290082331,1.538567935250165,False,False,False
2017,8,11401,2017-08-01,92,11.401,growth,10.062,7.964333333333333,6.828333333333333,7.970179959291297,10.618422010719517,10.32514031352816,3.641848557692308,0.9308181089743588,5.752406046756544,6.414157060014086,1.6263749558492238,False,False,False
2017,9,8699,2017-09-01,93,8.699,growth,10.370333333333333,8.586833333333333,6.836791666666666,8.115943967433038,9.466768804287806,9.462690323392465,1.4833485576923078,0.37885977564102635,5.748022065440345,6.438587829945841,0.6761245427037024,False,False,False
2017,10,7329,2017-10-01,94,7.329,growth,9.142999999999999,8.768333333333333,6.836416666666666,7.958555173946431,8.184107521715122,6.526162790697665,0.536707532051282,-0.04412419871794793,5.743140770446954,6.463018599877596,-0.052083860204519244,False,False,False
2017,11,4430,2017-11-01,95,4.43,growth,6.819333333333333,8.440666666666667,6.833708333333332,7.252844139157145,5.9316430086860485,10.007449714427597,-1.7948854166666668,-0.6088229166666657,5.73776216177637,6.487449369809351,-1.0242680951863556,False,False,False
2017,12,6017,2017-12-01,96,6.017,growth,5.925333333333332,8.147833333333333,6.845083333333331,7.005675311325716,5.982857203474419,7.812220032252282,-0.7010552884615383,-0.12702804487179276,5.731886239428594,6.511880139741106,-0.19481096350466673,False,False,False
2018,1,3703,2018-01-01,97,3.703,growth,4.716666666666666,6.929833333333334,6.857374999999998,6.345140249060573,4.6149428813897675,1.3132694938440492,-2.3237283653846155,-0.8306466346153831,5.725513003403624,6.536310909672862,-1.4061593846126312,False,False,False
2018,2,4001,2018-02-01,98,4.001,growth,4.573666666666667,5.6965,6.8700416666666655,5.876312199248459,4.246577152555908,1.265502404454577,-2.159052083333333,-0.7099895833333321,5.718642453701462,6.560741679604616,-1.1984364354231885,False,False,False
2018,3,5117,2018-03-01,99,5.117,growth,4.273666666666666,5.0995,6.873041666666666,5.724449759398768,4.768830861022363,3.082191780821919,-1.5593020833333333,-0.1967395833333323,5.711274590322108,6.585172449536372,-0.3148262150618579,False,False,False
2018,4,6078,2018-04-01,100,6.078,growth,5.065333333333333,4.891,6.874791666666666,5.795159807519014,5.554332344408945,-2.596153846153848,-0.6830328525641025,-0.11375881410256317,5.70340941326556,6.609603219468127,-0.17196668113930033,False,False,False
2018,5,6493,2018-05-01,101,6.493,growth,5.896,5.2348333333333334,6.887458333333333,5.934727846015212,6.117532937763578,1.5165728580362803,-0.4604142628205128,0.0659559294871801,5.695046922531821,6.634033989399882,0.1374298784038329,False,False,False
2018,6,7950,2018-06-01,102,7.95,growth,6.840333333333333,5.5569999999999995,6.897083333333333,6.337782276812169,7.21701317510543,2.263956779006948,0.7126306089743589,0.34028605769230846,5.6861871181208885,6.658464759331637,0.6097161035087244,False,False,False
2018,7,11130,2018-07-01,103,11.13,growth,8.524333333333333,6.794833333333334,6.901833333333333,7.296225821449736,9.564805270042172,1.080737444373825,3.3069350961538455,0.921231570512822,5.676830000032764,6.6828955292633925,1.609870789531638,False,False,False
2018,8,11586,2018-08-01,104,11.586,growth,10.222,8.059,6.905083333333334,8.15418065715979,10.777522108016868,1.622664678536978,3.641848557692308,1.0390681089743588,5.666975568267446,6.707326299195147,1.8127379492327873,False,False,False
2018,9,8586,2018-09-01,105,8.586,growth,10.434,8.637166666666667,6.906625000000001,8.240544525727833,9.462608843206748,-1.2989998850442497,1.4833485576923078,0.19602644230769162,5.656623822824936,6.731757069126902,0.36135902501044465,False,False,False
2018,10,7484,2018-10-01,106,7.484,growth,9.218666666666666,8.871500000000001,6.918458333333334,8.089235620582267,8.2754435372827,2.1148860690408,0.536707532051282,0.02883413461538442,5.645774763705234,6.756187839058658,0.07352106720680317,False,False,False
2018,11,4579,2018-11-01,107,4.579,growth,6.883,8.5525,6.929333333333333,7.387188496465813,6.05757741491308,3.363431151241536,-1.7948854166666668,-0.5554479166666666,5.634428390908338,6.780618608990412,-0.9323777970630528,False,False,False
2018,12,6099,2018-12-01,108,6.099,growth,6.053999999999999,8.244,6.929791666666667,7.1295507971726515,6.082430965965232,1.3628053847432264,-0.7010552884615383,-0.12973637820512807,5.62258470443425,6.805049378922168,-0.19947362500194946,False,False,False
2019,1,3735,2019-01-01,109,3.735,growth,4.804333333333333,7.011500000000001,6.9403333333333315,6.450640637738122,4.673972386386092,0.864164191196326,-2.3237283653846155,-0.8816049679487161,5.610243704282969,6.829480148853923,-1.4938891540152859,False,False,False
2019,2,4047,2019-02-01,110,4.047,growth,4.627,5.755,6.954208333333332,5.969912510190498,4.297788954554437,1.149712571857009,-2.159052083333333,-0.7481562499999992,5.5974053904544965,6.853910918785678,-1.2641440959079253,False,False,False
2019,3,5108,2019-03-01,111,5.108,growth,4.296666666666666,5.175333333333334,6.964625,5.797530008152399,4.783915581821774,-0.17588430721126036,-1.5593020833333333,-0.2973229166666669,5.584069762948831,6.878341688717433,-0.4879902897454331,False,False,False
2019,4,6371,2019-04-01,112,6.371,growth,5.175333333333334,4.9898333333333325,6.974833333333333,5.91222400652192,5.73616623272871,4.820664692332999,-0.6830328525641025,0.07919951923077018,5.570236821765972,6.9027724586491885,0.16023001722839925,False,False,False
2019,5,6461,2019-05-01,113,6.461,growth,5.9799999999999995,5.3035000000000005,6.9749583333333325,6.021979205217536,6.171066493091484,-0.49283844139842437,-0.4604142628205128,-0.0535440705128194,5.5559065669059216,6.927203228580943,-0.06830109350689015,False,False,False
2019,6,7993,2019-06-01,114,7.993,growth,6.941666666666666,5.6191666666666675,6.971499999999999,6.41618336417403,7.264226597236593,0.5408805031446473,0.7126306089743589,0.3088693910256425,5.541078998368678,6.9516339985126985,0.5556292301402856,False,False,False
2019,7,11340,2019-07-01,115,11.34,growth,8.598,6.886666666666667,6.910208333333332,7.400946691339225,9.709690638894637,1.8867924528301883,3.3069350961538455,1.122856570512822,5.525754116154242,6.976064768444454,1.9569880046906312,False,False,False
2019,8,11709,2019-08-01,116,11.709,growth,10.347333333333333,8.163666666666666,6.770874999999999,8.26255735307138,10.909276255557854,1.0616261004660732,3.641848557692308,1.2962764423076925,5.509931920262614,7.000495538376208,2.2555473249667135,True,False,False
